code,name,asset_type
000070,特发信息,stock
000823,超声电子,stock
002051,中工国际,stock
002119,康强电子,stock
002125,湘潭电化,stock
002245,蔚蓝锂芯,stock
002585,双星新材,stock
002636,金安国纪,stock
002645,华宏科技,stock
002747,埃斯顿,stock
300083,创世纪,stock
300260,新莱应材,stock
300331,苏大维格,stock
300346,南大光电,stock
300400,劲拓股份,stock
300465,高伟达,stock
300566,激智科技,stock
300576,容大感光,stock
300706,阿石创,stock
300709,精研科技,stock
300721,怡达股份,stock
300747,锐科激光,stock
300907,康平科技,stock
300975,商络电子,stock
300976,达瑞电子,stock
301526,国际复材,stock
600063,皖维高新,stock
600110,诺德股份,stock
600360,华微电子,stock
603011,合锻智能,stock
603823,百合花,stock
605006,山东玻纤,stock
605358,立昂微,stock
002046,国机精工,stock
300285,国瓷材料,stock

